PMID,Year,Title,Journal,Host Species,Host Species Ontology ID,Host Species Ontology Candidates,Body Site,Body Site Ontology ID,Body Site Ontology Candidates,Condition,Condition Ontology ID,Condition Ontology Candidates,Sample Size,Sequencing Type,Differential Abundance,In bsgdb
30287886,,'NetShift': a methodology for understanding 'driver microbes' from healthy and disease microbiome datasets.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,metagenomics,Yes,No
30471188,,Deciphering the Human Gut Microbiome of Urolithin Metabotypes: Association with Enterotypes and Potential Cardiometabolic Health Implications.,,,,,,,,,,,,16S,No,No
30118620,,Assessment of urinary 3-indoxyl sulfate as a marker for gut microbiota diversity and abundance of Clostridiales.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
30445307,,Purinergic P2X7 receptor blockade mitigates alcohol-induced steatohepatitis and intestinal injury by regulating MEK1/2-ERK1/2 signaling and egr-1 activity.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
30297287,,Airway Microbiome and Development of Bronchopulmonary Dysplasia in Preterm Infants: A Systematic Review.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30279512,,A dendritic cell-based systemic vaccine induces long-lived lung-resident memory Th17 cells and ameliorates pulmonary mycosis.,,,,,,,,,,,,,No,No
30573310,,[Hypersensitivity pneumonitis and abscess reaction to nontuberculous mycobacteria acquired form jacuzzi aerosol].,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30429094,,[A case report of an adult with bronchial mould infection complicated by purulent pleurisy].,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30598081,,Gut microbiome changes in overweight male adults following bowel preparation.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
30579350,,Stability and resilience of the intestinal microbiota in children in daycare - a 12 month cohort study.,,,,,feces,UBERON:0001988,,,,,,16S,No,No
30583518,,Navy Beans Impact the Stool Metabolome and Metabolic Pathways for Colon Health in Cancer Survivors.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,cancer,MONDO:0004992,,,,No,No
30516980,,Characterization of Polysaccharides from Feijoa Fruits ( Acca sellowiana Berg.) and Their Utilization as Growth Substrates by Gut Commensal Bacteroides Species.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
30562947,,A Metabologenomic Approach Reveals Changes in the Intestinal Environment of Mice Fed on American Diet.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,,,,,other,No,No
30581271,,Modulation of faecal metagenome in Crohn's disease: Role of microRNAs as biomarkers.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,29,16S,No,No
30545401,,A comparative study of the gut microbiota in immune-mediated inflammatory diseases-does a common dysbiosis exist?,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,20,16S,Yes,No
30541450,,"Diet, physical activity and screen time but not body mass index are associated with the gut microbiome of a diverse cohort of college students living in university housing: a cross-sectional study.",,,,,feces,UBERON:0001988,,,,,82,16S,Yes,No
30538180,,"Impact of Individual Traits, Saturated Fat, and Protein Source on the Gut Microbiome.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
30622429,,Gut Microbiome Dysbiosis and Immunometabolism: New Frontiers for Treatment of Metabolic Diseases.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
30522511,,Cordycepin reduces weight through regulating gut microbiota in high-fat diet-induced obese rats.,,Mus musculus,NCBITaxon:10090,,,,,obesity,EFO:0001073,,,other,No,No
30510177,,Collective motion conceals fitness differences in crowded cellular populations.,,,,,,,,cancer,MONDO:0004992,,,,Yes,No
30418043,,Iron deficiency anemia-related gut microbiota dysbiosis in infants and young children: A pilot study.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,10,16S,No,No
30212253,,Associations between the gut microbiota and host responses to high altitude.,,,,,,,,,,,,,No,No
30292635,,Differential expression of tumor-associated genes and altered gut microbiome with decreased Akkermansia muciniphila confer a tumor-preventive microenvironment in intestinal epithelial Pten-deficient mice.,,Mus musculus,NCBITaxon:10090,,,,,cancer,MONDO:0004992,,,,No,No
30446879,,Calorie restriction and its impact on gut microbial composition and global metabolism.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30311721,,Gut microbiome can be restored without adverse events after Helicobacter pylori eradication therapy in teenagers.,,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
29855054,,Detection of the unknown components of the oral microflora of teeth with periapical radiolucencies in a Turkish population using next-generation sequencing techniques.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,20,other,Yes,No
30267143,,Urinary microbes and postoperative urinary tract infection risk in urogynecologic surgical patients.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30467977,,Differential clustering of fecal and mucosa-associated microbiota in 'healthy' individuals.,,,,,feces,UBERON:0001988,,Crohn disease,EFO:0000384,,,16S,Yes,No
30498207,,Altered gut microbiota after traumatic splenectomy is associated with endotoxemia.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,Yes,No
30301767,,Three structurally and functionally distinct β-glucuronidases from the human gut microbe ,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30488879,,Gut Microbiota Disruption in Septic Shock Patients: A Pilot Study.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,15,16S,Yes,No
30463925,,Impact of Amoxicillin-Clavulanate followed by Autologous Fecal Microbiota Transplantation on Fecal Microbiome Structure and Metabolic Potential.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
30453528,,Intestinal Microbiome in Irritable Bowel Syndrome before and after Gut-Directed Hypnotherapy.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,No,No
30584534,,Multiomic Strategies Reveal Diversity and Important Functional Aspects of Human Gut Microbiome.,,,,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
30409177,,Visualization-assisted binning of metagenome assemblies reveals potential new pathogenic profiles in idiopathic travelers' diarrhea.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,metagenomics,Yes,No
30395655,,HPV infection and bacterial microbiota in breast milk and infant oral mucosa.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,16S,Yes,No
30165663,,High-resolution analysis of the pneumococcal transcriptome under a wide range of infection-relevant conditions.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29355905,,"Hidradenitis suppurativa, a review of pathogenesis, associations and management. Part 1.",,Homo sapiens,NCBITaxon:9606,,,,,,,,106,,No,No
30157044,,Checkpoint inhibitor colitis: a new model of inflammatory bowel disease?,,Homo sapiens,NCBITaxon:9606,,,,,inflammatory bowel disease,EFO:0003764,,,,No,No
30224347,,Gut Microbiota Differs in Composition and Functionality Between Children With Type 1 Diabetes and MODY2 and Healthy Control Subjects: A Case-Control Study.,,Homo sapiens,NCBITaxon:9606,,,,,type 1 diabetes mellitus,EFO:0001361,,,16S,Yes,No
29303032,,The evaluation of the quality of Feng Huang Oolong teas and their modulatory effect on intestinal microbiota of high-fat diet-induced obesity mice model.,,Mus musculus,NCBITaxon:10090,,,,,obesity,EFO:0001073,,,other,No,No
30273610,,A multi-amplicon 16S rRNA sequencing and analysis method for improved taxonomic profiling of bacterial communities.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,,,,,16S,Yes,No
29564487,,Gut Microbial Dysbiosis in Indian Children with Autism Spectrum Disorders.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,Yes,No
30115996,,Pulmonary immunization with a recombinant influenza A virus vaccine induces lung-resident CD4,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
30153231,,Pneumococcal Colonization and the Nasopharyngeal Microbiota of Children in Botswana.,,,,,,,,,,,,16S,Yes,No
29353409,,16S rRNA gene sequencing reveals altered composition of gut microbiota in individuals with kidney stones.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,13,16S,Yes,No
30365522,,Distinct mucosal microbial communities in infants with surgical necrotizing enterocolitis correlate with age and antibiotic exposure.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
30356965,,Fungal dysbiosis predicts the diagnosis of pediatric Crohn's disease.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,Crohn disease,EFO:0000384,,20,,Yes,No
30332459,,Diversified gut microbiota in newborns of mothers with gestational diabetes mellitus.,,Homo sapiens,NCBITaxon:9606,,,,,diabetes mellitus,EFO:0000400,,,16S,Yes,No
30300382,,Carious status and supragingival plaque microbiota in hemodialysis patients.,,Homo sapiens,NCBITaxon:9606,,,,,chronic kidney disease,MONDO:0005300,,30,16S,No,No
30290831,,Evaluation of patient- versus provider-collected vaginal swabs for microbiome analysis during pregnancy.,,Homo sapiens,NCBITaxon:9606,,,,,,,,47,16S,Yes,No
30279249,,Miliary tuberculosis and herpes pharyngitis after a trip to a developing country: dangers of biologics.,,,,,,,,,,,,,No,No
29997110,,Characterisation of the nasal microbiota in granulomatosis with polyangiitis.,,Homo sapiens,NCBITaxon:9606,,,,,healthy,EFO:0000246,,60,16S,Yes,No
29808442,,High frequency of Polio-like Enterovirus C strains with differential clustering of CVA-13 and EV-C99 subgenotypes in a cohort of Malawian children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,No,No
30100563,,Intestinal Metaproteomics Reveals Host-Microbiota Interactions in Subjects at Risk for Type 1 Diabetes.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,type 1 diabetes mellitus,EFO:0001361,,,,Yes,No
29876777,,"Probiotics Ameliorate Stool Consistency in Patients with Chronic Constipation: A Randomized, Double-Blind, Placebo-Controlled Study.",,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,irritable bowel syndrome,MONDO:0005052,,88,,Yes,No
30006660,,Intestinal microbiome as a risk factor for urinary tract infections in children.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,16S,Yes,No
30118374,,Cystic fibrosis respiratory microbiota: unraveling complexity to inform clinical practice.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,No,No
29665102,,Antibiotic-Associated Disruption of Microbiota Composition and Function in Cirrhosis Is Restored by Fecal Transplant.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
30174010,,Paired analysis of the microbiota between surface tissue swabs and biopsies from pediatric patients undergoing adenotonsillectomy.,,Homo sapiens,NCBITaxon:9606,,,,,,,,28,other,Yes,No
30174001,,The bacterial community and local lymphocyte response are markedly different in patients with recurrent tonsillitis compared to obstructive sleep apnoea.,,Homo sapiens,NCBITaxon:9606,,,,,,,,24,,Yes,No
30143589,,Differential Induction of IFN-α and Modulation of CD112 and CD54 Expression Govern the Magnitude of NK Cell IFN-γ Response to Influenza A Viruses.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,,Yes,No
29753031,,"Antiseptic Agents Elicit Short-Term, Personalized, and Body Site-Specific Shifts in Resident Skin Bacterial Communities.",,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,,No,No
29908759,,Cutibacterium acnes and the shoulder microbiome.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,23,16S,No,No
30244778,,Influence of gender and menopausal status on gut microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,,,,20,,No,No
30313111,,The characteristics analysis of intestinal microecology on cerebral infarction patients and its correlation with apolipoprotein E.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,10,other,Yes,No
30261008,,Association of metformin administration with gut microbiome dysbiosis in healthy volunteers.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,diabetes mellitus,EFO:0000400,,,16S,Yes,No
30248149,,NLRP6 negatively regulates pulmonary host defense in Gram-positive bacterial infection through modulating neutrophil recruitment and function.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,Yes,No
30237489,,Meconium microbiome associates with the development of neonatal jaundice.,,Homo sapiens,NCBITaxon:9606,,,,,,,,,16S,Yes,No
30235351,,Expansion of commensal fungus Wallemia mellicola in the gastrointestinal mycobiota enhances the severity of allergic airway disease in mice.,,Mus musculus,NCBITaxon:10090,,,,,,,,,other,Yes,No
30187897,,Effects of different levels of methionine on sow health and plasma metabolomics during late gestation.,,,,,feces,UBERON:0001988,,,,,,,Yes,No
30099890,,Gut bacterial composition in a mouse model of Parkinson's disease.,,Mus musculus,NCBITaxon:10090,,saliva,UBERON:0001836,,Parkinson disease,EFO:0002508,,,,Yes,No
29888657,,Oral administration of Bifidobacterium bifidum TMC3115 to neonatal mice may alleviate IgE-mediated allergic risk in adulthood.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,,,,54,16S,Yes,No
30227892,,Predicting recurrence of Clostridium difficile infection following encapsulated fecal microbiota transplantation.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,89,,Yes,No
30208875,,A metagenome-wide association study of gut microbiota in asthma in UK adults.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,,Yes,No
30208950,,Dichotomous development of the gut microbiome in preterm infants.,,,,,feces,UBERON:0001988,,,,,,16S,Yes,No
30204780,,Chronic fatigue syndrome patients have alterations in their oral microbiome composition and function.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,healthy,EFO:0000246,,,16S,Yes,No
30201048,,Quantification of variation and the impact of biomass in targeted 16S rRNA gene sequencing studies.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,244,16S,Yes,No
30202057,,Gut fungal dysbiosis correlates with reduced efficacy of fecal microbiota transplantation in Clostridium difficile infection.,,Mus musculus,NCBITaxon:10090,,feces,UBERON:0001988,,,,,,,No,No
30189859,,Reliability of a participant-friendly fecal collection method for microbiome analyses: a step towards large sample size investigation.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,,,Yes,No
30068076,,"Chemical Compositions of Cold-Pressed Broccoli, Carrot, and Cucumber Seed Flours and Their in Vitro Gut Microbiota Modulatory, Anti-inflammatory, and Free Radical Scavenging Properties.",,,,,,,,,,,,,No,No
29862523,,Family-based study reveals decreased abundance of sputum Granulicatella in asthmatics.,,Homo sapiens,NCBITaxon:9606,,,,,,,,14,,No,No
30373876,,PCR Based Fecal Pathogen Panel Testing Should Be Interpreted with Caution at Diagnosis of Pediatric Inflammatory Bowel Diseases.,,,,,feces,UBERON:0001988,,inflammatory bowel disease,EFO:0003764,,,,Yes,No
29976769,,Gut Microbiota-Dependent Trimethylamine N-Oxide Predicts Risk of Cardiovascular Events in Patients With Stroke and Is Related to Proinflammatory Monocytes.,,Homo sapiens,NCBITaxon:9606,,,,,diabetes mellitus,EFO:0000400,,78,,Yes,No
29945689,,Different latent class models were used and evaluated for assessing the accuracy of campylobacter diagnostic tests: overcoming imperfect reference standards?,,Homo sapiens,NCBITaxon:9606,,,,,,,,623,,No,No
30010747,,Gut microbial and metabolomic profiles after fecal microbiota transplantation in pediatric ulcerative colitis patients.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,ulcerative colitis,EFO:0000729,,,16S,Yes,No
29532420,,"Detection of Streptococcus pyogenes virulence genes in Streptococcus dysgalactiae subsp. equisimilis from Vellore, India.",,Homo sapiens,NCBITaxon:9606,,,,,,,,,other,Yes,No
29791788,,Shift in skin microbiota of Western European women across aging.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,16S,Yes,No
29548797,,Isolation and Identification of the Follicular Microbiome: Implications for Acne Research.,,Homo sapiens,NCBITaxon:9606,,skin,UBERON:0002097,,,,,,16S,No,No
29985123,,Accuracy of a commercial multiplex PCR for the diagnosis of bacterial vaginosis.,,Homo sapiens,NCBITaxon:9606,,,,,,,,185,16S,Yes,No
29873593,,Variation in the Plasma Levels of Polyunsaturated Fatty Acids in Control vis-à-vis Nonalcoholic Fatty Liver Disease Subjects and Its Possible Association with Gut Microbiome.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,healthy,EFO:0000246,,,16S,Yes,No
30172257,,Enterobacteriaceae are essential for the modulation of colitis severity by fungi.,,Mus musculus,NCBITaxon:10090,,,,,inflammatory bowel disease,EFO:0003764,,,,No,No
30127432,,Hyperactivated PI3Kδ promotes self and commensal reactivity at the expense of optimal humoral immunity.,,Mus musculus,NCBITaxon:10090,,,,,,,,,,No,No
29984544,,Aerodigestive dysbiosis in children with chronic cough.,,Homo sapiens,NCBITaxon:9606,,saliva,UBERON:0001836,,,,,,16S,Yes,No
30165830,,Temporal instability of the post-surgical maxillary sinus microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,,,,35,16S,No,No
29756631,,Patients with Acne Vulgaris Have a Distinct Gut Microbiota in Comparison with Healthy Controls.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,43,16S,Yes,No
30157953,,Influence of cigarette smoking on the human duodenal mucosa-associated microbiota.,,Homo sapiens,NCBITaxon:9606,,,,,Crohn disease,EFO:0000384,,21,16S,Yes,No
30143034,,Interaction between the microbiome and TP53 in human lung cancer.,,Homo sapiens,NCBITaxon:9606,,,,,cancer,MONDO:0004992,,33,16S,Yes,No
30138339,,Differential effects of selective and non-selective cyclooxygenase inhibitors on fecal microbiota in adult horses.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,5,16S,No,No
30134854,,"Epidemiological analysis and rapid detection by one-step multiplex PCR assay of Haemophilus influenzae in children with respiratory tract infections in Zhejiang Province, China.",,,,,,,,,,,,,Yes,No
29617871,,Clinical and Laboratory Predictors of Shiga Toxin-Producing Escherichia coli Infection in Children With Bloody Diarrhea.,,Homo sapiens,NCBITaxon:9606,,feces,UBERON:0001988,,,,,8,,Yes,No
